Hello world;Hola Mundo
painting;pintura
paper;papel
parent;padre
part;parte
participant;partícipe
particular;especial
particularly;particularmente
partner;compañero
party;partido
pass;pasar
past;pasado
patient;paciente
pattern;modelo
pay;paga
peace;paz
people;gente
per;por
perform;realizar
performance;actuación
perhaps;quizás
period;período
person;persona
personal;personal
phone;teléfono
physical;físico
pick;recoger
picture;imagen
piece;trozo
place;lugar
plan;plan
plant;planta
play;jugar
player;jugador
PM;PM
point;punto
police;policía
policy;política
political;político
politics;política
poor;pobre
popular;popular
population;población
position;posición
positive;positivo
possible;posible
power;poder
practice;práctica
prepare;preparar
present;presente
president;presidente
pressure;presión
pretty;bonita
prevent;evitar
price;precio
private;privado
probably;probablemente
problem;problema
process;proceso
produce;Produce
product;producto
production;producción
professional;profesional
professor;profesor
program;programa
project;proyecto
property;propiedad
protect;proteger
prove;probar
provide;proporcionar
public;público
pull;Halar
purpose;propósito
push;empujar
put;poner
quality;calidad
question;pregunta
quickly;con rapidez
quite;bastante
race;carrera
radio;radio
raise;aumento
range;distancia
rate;tarifa
rather;más bien
reach;alcanzar
read;leer
ready;Listo
real;real
reality;realidad
realize;darse cuenta de
really;De Verdad
reason;razón
receive;recibir
recent;reciente
recently;recientemente
recognize;reconocer
record;grabar
red;rojo
reduce;reducir
reflect;reflejar
region;región
relate;relacionar
relationship;relación
religious;religioso
remain;permanecer
remember;recuerda
remove;retirar
report;informe
represent;representar
Republican;Republicano
require;exigir
research;investigación
resource;recurso
respond;responder
response;respuesta
responsibility;responsabilidad
rest;descanso
result;resultado
return;regreso
reveal;revelar
rich;Rico
right;Correcto
rise;subir
risk;riesgo
road;la carretera
rock;rock
role;papel
room;habitación
rule;regla
run;correr
safe;seguro
same;mismo
save;salvar
say;decir
scene;escena
school;colegio
science;ciencia
scientist;científico
score;Puntuación
sea;mar
season;temporada
seat;asiento
second;segundo
section;sección
security;seguridad
see;ver
seek;buscar
seem;parecer
sell;vender
send;enviar
senior;mayor
sense;se
series;serie
serious;grave
serve;servir
service;Servicio
set;conjunto
seven;Siete
several;varios
sex;sexo
sexual;sexual
shake;sacudir
share;compartir
she;ella
shoot;disparar
short;corto
shot;Disparo
should;debería
shoulder;hombro
show;espectáculo
side;lado
sign;firmar
significant;significativo
similar;similar
simple;sencillo
simply;simplemente
since;ya que
sing;canta
single;soltero
sister;hermana
sit;sentar
site;sitio
situation;situación
six;seis
size;tamaño
skill;habilidad
skin;piel
small;pequeña
smile;sonreír
so;asi que
social;social
society;sociedad
soldier;soldado
some;algunos
somebody;alguien
someone;alguien
something;alguna cosa
sometimes;algunas veces
son;hijo
song;canción
soon;pronto
sort;ordenar
sound;sonar
source;fuente
south;sur
southern;del Sur
space;espacio
speak;hablar
special;especial
specific;específico
speech;habla
spend;gastar
sport;deporte
spring;primavera
staff;personal
stage;escenario
stand;estar
standard;estándar
star;estrella
start;comienzo
state;estado
statement;declaración
station;estación
stay;permanecer
step;paso
still;todavía
stock;valores
stop;detener
store;almacenar
story;historia
strategy;estrategia
street;calle
strong;fuerte
structure;estructura
student;estudiante
study;estudiar
stuff;cosas
style;estilo
subject;tema
success;éxito
successful;exitoso
such;tal
suddenly;repentinamente
suffer;sufrir
suggest;sugerir
summer;verano
support;apoyo
sure;Por supuesto
surface;superficie
system;sistema
table;mesa
take;tomar
talk;hablar
task;tarea
tax;impuesto
teach;enseñar
teacher;profesor
team;equipo
technology;tecnología
television;televisión
tell;contar
ten;diez
tend;tender
term;término
test;prueba
than;que
thank;gracias
that;ese
the;la
their;su
them;ellos
themselves;sí mismos
then;entonces
theory;teoría
there;ahí
these;estas
they;ellos
thing;cosa
think;pensar
third;tercero
this;esta
those;aquellos
though;aunque
thought;pensamiento
thousand;mil
threat;amenaza
three;Tres
through;mediante
throughout;en todo
throw;lanzar
thus;así
time;hora
to;a
today;hoy
together;juntos
tonight;esta noche
too;también
top;parte superior
total;total
tough;difícil
toward;hacia
town;pueblo
trade;comercio
traditional;tradicional
training;formación
travel;viaje
treat;tratar
treatment;tratamiento
tree;árbol
trial;juicio
trip;viaje
trouble;problema
TRUE;VERDADERO
truth;verdad
try;tratar
turn;giro
TV;televisión
two;dos
type;tipo
under;debajo
understand;entender
unit;unidad
until;hasta
up;arriba
upon;sobre
us;nosotros
use;utilizar
usually;generalmente
value;valor
various;varios
very;muy
victim;víctima
view;ver
violence;violencia
visit;visitar
voice;voz
vote;votar
wait;Espere
walk;caminar
wall;pared
want;querer
war;guerra
watch;reloj
water;agua
way;camino
we;nosotros
weapon;arma
wear;vestir
week;semana
weight;peso
well;bien
west;Oeste
western;occidental
what;qué
whatever;lo que sea
when;cuando
where;dónde
whether;ya sea
which;cual
while;mientras
white;blanco
who;quien
whole;todo
whom;quién
whose;cuyo
why;por qué
wide;amplio
wife;esposa
will;será
win;ganar
wind;viento
window;ventana
wish;deseo
with;con
within;dentro
without;sin
woman;mujer
wonder;preguntarse
word;palabra
work;trabajo
worker;obrero
world;mundo
worry;preocupación
would;haría
write;escribir
writer;escritor
wrong;incorrecto
yard;yarda
yeah;sí
year;año
yes;sí
yet;todavía
you;tú
young;joven
your;tu
yourself;tú mismo
