una;a
revista;magazine
principal;principal
mantener;keep
mayor;higher
mayoria;most
hacer;do
hombre;man
gestionar;manage
administración;administration
gerente;manager
muchos;Many
mercado;market
matrimonio;marriage
material;material
importar;to import
mayo;may
tal vez;perhaps
yo;I
media;half
medida;measure
medios de comunicación;media
médico;doctor
reunirse;get together
reunión;meeting
miembro;member
memoria;memory
mencionar;to mention
mensaje;message
método;method
medio;medium
podría;might
militar;military
millón;million
mente;mind
minuto;minute
perder;to lose
misión;mission
modelo;model
moderno;modern
momento;moment
dinero;money
mes;month
Más;Plus
Mañana;morning
más;plus
madre;mother
boca;mouth
movimiento;movement
movimiento;movement
película;movie
Señor;Sir
señora;Mrs
mucho;much
música;music
debe;should
mi;my
mí mismo;myself
nombre;first name
nación;nation
nacional;national
natural;natural
naturaleza;nature
cerca;near
casi;almost
necesario;necessary
necesitar;need
red;net
Nunca;Never
nuevo;new
Noticias;News
periódico;Newspaper
siguiente;following
agradable;nice
noche;night
no;do not
ninguna;any
ni;neither
norte;north
no;do not
Nota;Note
nada;nothing
darse cuenta;realize
ahora;now
Nuevo Testamento;New Testament
número;number
ocurrir;occur
de;of
apagado;off
oferta;offer
oficina;office
oficial;official
oficial;official
a menudo;often
Oh;Oh
petróleo;Petroleum
De acuerdo;In agreement
antiguo;old
en;in
una vez;once
uno;one
solamente;only
sobre;on
abierto;open
operación;operation
oportunidad;opportunity
opción;option
o;or
orden;order
organización;organization
otro;other
otros;others
nuestro;our
afuera;outside
fuera de;outside
terminado;finished
propio;own
propietario;owner
página;page
dolor;pain
pintura;painting
papel;paper
padre;father
parte;part
partícipe;participant
especial;special
particularmente;particularly
compañero;partner
partido;match
pasar;happen
pasado;past
paciente;patient
modelo;model
paga;pay
paz;peace
gente;people
por;by
realizar;perform
actuación;performance
quizás;maybe
período;period
persona;person
personal;personal
teléfono;phone
físico;physical
recoger;collect
imagen;image
trozo;piece
lugar;place
plan;plan
planta;plant
jugar;to play
jugador;player
PM;P.M
punto;point
policía;police
política;politics
político;politician
política;politics
pobre;poor
popular;popular
población;population
posición;position
positivo;positive
posible;possible
poder;power
práctica;practice
preparar;prepare
presente;I presented
presidente;President
presión;Pressure
bonita;pretty
evitar;avoid
precio;price
privado;private
probablemente;probably
problema;problem
proceso;process
Produce;Produces
producto;product
producción;production
profesional;professional
profesor;teacher
programa;Program
proyecto;draft
propiedad;property
proteger;to protect
probar;try out
proporcionar;provide
público;public
Halar;Pull
propósito;purpose
empujar;Push
poner;put
calidad;quality
pregunta;Question
con rapidez;quickly
bastante;quite
carrera;career
radio;radio
aumento;increase
distancia;distance
tarifa;rate
más bien;rather
alcanzar;reach
leer;read
Listo;Ready
real;real
realidad;reality
darse cuenta de;realise
De Verdad;Really
razón;reason
recibir;to receive
reciente;recent
recientemente;Recently
reconocer;recognize
grabar;Record
rojo;Red
reducir;reduce
reflejar;reflect
región;region
relacionar;relate
relación;relationship
religioso;religious
permanecer;stay
recuerda;remember
retirar;remove
informe;report
representar;represent
Republicano;Republican
exigir;demand
investigación;investigation
recurso;resource
responder;reply
respuesta;answer
responsabilidad;responsibility
descanso;break
resultado;result
regreso;he came back
revelar;to reveal
Rico;rich
Correcto;Right
subir;go up
riesgo;risk
la carretera;road
rock;rock
papel;paper
habitación;room
regla;ruler
correr;run
seguro;safe
mismo;same
salvar;save
decir;tell
escena;scene
colegio;school
ciencia;science
científico;scientific
Puntuación;Punctuation
mar;sea
temporada;season
asiento;seat
segundo;second
sección;section
seguridad;security
ver;watch
buscar;search for
parecer;seem
vender;to sell
enviar;submit
mayor;higher
se;he
serie;series
grave;serious
servir;to serve
Servicio;Service
conjunto;set
Siete;Seven
varios;various
sexo;sex
sexual;sexual
sacudir;shake
compartir;share
ella;she
disparar;shoot
corto;short
Disparo;Shooting
debería;should
hombro;shoulder
espectáculo;show
lado;side
firmar;sign
significativo;significant
similar;Similary
sencillo;simple
simplemente;simply
ya que;as
canta;sing
soltero;single
hermana;sister
sentar;sit
sitio;site
situación;situation
seis;six
tamaño;size
habilidad;ability
piel;skin
pequeña;little
sonreír;smile
asi que;so
social;Social
sociedad;society
soldado;soldier
algunos;Some
alguien;someone
alguien;someone
alguna cosa;something
algunas veces;sometimes
hijo;son
canción;song
pronto;soon
ordenar;order
sonar;Sound
fuente;source
sur;south
del Sur;from the south
espacio;space
hablar;talk
especial;special
específico;specific
habla;speaks
gastar;spend
deporte;sport
primavera;spring
personal;personal
escenario;stage
estar;to be
estándar;standard
estrella;star
comienzo;Start
estado;state
declaración;declaration
estación;station
permanecer;stay
paso;He passed
todavía;still
valores;values
detener;having
almacenar;to stock
historia;history
estrategia;strategy
calle;Street
fuerte;strong
estructura;structure
estudiante;student
estudiar;study
cosas;things
estilo;style
tema;topic
éxito;success
exitoso;successful
tal;such
repentinamente;suddenly
sufrir;suffer
sugerir;suggest
verano;summer
apoyo;support for
Por supuesto;Of course
superficie;surface
sistema;system
mesa;table
tomar;drink
hablar;talk
tarea;homework
impuesto;tax
enseñar;teach
profesor;teacher
equipo;team
tecnología;technology
televisión;TV
contar;tell
diez;ten
tender;to tend
término;finished
prueba;test
que;what
gracias;Thank you
ese;that
la;the
su;its
ellos;they
sí mismos;themselves
entonces;so
teoría;theory
ahí;there
estas;these
ellos;they
cosa;thing
pensar;think
tercero;third
esta;is
aquellos;those
aunque;even though
pensamiento;thought
mil;thousand
amenaza;threat
Tres;Three
mediante;through
en todo;throughout
lanzar;throw
así;A) Yes
hora;hour
a;to
hoy;today
juntos;together
esta noche;tonight
también;as well
parte superior;upper part
total;total
difícil;hard
hacia;toward
pueblo;village
comercio;Commerce
tradicional;traditional
formación;training
viaje;trip
tratar;try
tratamiento;treatment
árbol;tree
juicio;judgment
viaje;trip
problema;problem
VERDADERO;TRUE
verdad;TRUE
tratar;try
giro;turn
televisión;TV
dos;two
tipo;kind
debajo;under
entender;understand
unidad;unity
hasta;until
arriba;above
sobre;on
nosotros;we
utilizar;use
generalmente;usually
valor;value
varios;various
muy;very
víctima;victim
ver;watch
violencia;violence
visitar;to visit
voz;voice
votar;vote
Espere;I waited
caminar;walk
pared;wall
querer;want
guerra;war
reloj;clock
agua;Water
camino;path
nosotros;we
arma;weapon
vestir;wear
semana;week
peso;weight
bien;all right
Oeste;West
occidental;western
qué;what
lo que sea;whatever is
cuando;when
dónde;where
ya sea;either
cual;which one
mientras;While
blanco;White
quien;who
todo;all
quién;who
cuyo;whose
por qué;why
amplio;large
esposa;wife
será;will be
ganar;win
viento;wind
ventana;window
deseo;wish
con;with
dentro;inside
sin;without
mujer;woman
preguntarse;wonder
palabra;word
trabajo;work
obrero;worker
mundo;world
preocupación;concern
haría;would do
escribir;to write
escritor;Writer
incorrecto;incorrect
yarda;yard
sí;yes
año;year
sí;yes
todavía;still
tú;you
joven;young
tu;you
tú mismo;yourself
